"Maximum Capacity","Suburb","Postcode","Latitude","Longitude","Region","Gaming"
"Unspecified","CAULFIELD","3162","-37.87230300","145.02319600","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.91319407","145.13569410","Metro East","Not allowed"
"Unspecified","FRANKSTON","3199","-38.16911688","145.14867950","Metro South","Not allowed"
"Unspecified","PARKVILLE","3052","-37.78640000","144.94503300","Metro North","Not allowed"
"Unspecified","FRANKSTON","3199","-38.16602650","145.10480350","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.92447709","145.11963950","Metro East","Not allowed"
"Unspecified","CAULFIELD","3162","-37.88691100","145.02313500","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.15769800","145.13087300","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.16434788","145.13790290","Metro South","Not allowed"
"Unspecified","CAULFIELD","3162","-37.89472800","145.02068600","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14458800","145.13818600","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.92746700","145.11899400","Metro East","Not allowed"
"Unspecified","CLAYTON","3168","-37.92731400","145.11902100","Metro East","Not allowed"
"Unspecified","CAULFIELD","3162","-37.88161280","145.03513520","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.92446430","145.12109600","Metro East","Not allowed"
"Unspecified","BERWICK","3806","-38.03129412","145.34420790","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.92811912","145.11943190","Metro East","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14075300","145.12337400","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14397900","145.12442200","Metro South","Not allowed"
"Unspecified","BERWICK","3806","-38.03747317","145.33682741","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.13433230","145.17682060","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14982600","145.12683800","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.16107500","145.12730200","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.16165930","145.13787360","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.17083600","145.16160900","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14017000","145.17510200","Metro South","Not allowed"
"Unspecified","BERWICK","3806","-38.02814000","145.36383200","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.15129500","145.14434300","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.95414530","145.12079490","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.15129500","145.14434300","Metro South","Not allowed"
"Between 200 and 499","FRANKSTON","3199","-38.16158900","145.13930600","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.16212610","145.12514100","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.18027800","145.12156200","Metro South","Not allowed"
"Unspecified","BERWICK","3806","-38.02733400","145.35509300","Metro South","Not allowed"
"More than 499","FRANKSTON","3199","-38.14558700","145.12015900","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.92408600","145.12059300","Metro East","Not allowed"
"Unspecified","BERWICK","3806","-38.03154219","145.34575863","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.92405400","145.11916100","Metro East","Not allowed"
"Unspecified","BERWICK","3806","-38.03053700","145.32731700","Metro South","Not allowed"
"Unspecified","BERWICK","3806","-38.03074800","145.32745900","Metro South","Not allowed"
"Unspecified","PARKVILLE","3052","-37.77905150","144.95846730","Metro North","Not allowed"
"Unspecified","FRANKSTON","3199","-38.16289150","145.13809200","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.15320115","145.13405080","Metro South","Not allowed"
"More than 499","FRANKSTON","3199","-38.14520216","145.12057520","Metro South","Allowed"
"More than 499","FRANKSTON","3199","-38.14493259","145.11989030","Metro South","Allowed"
"More than 499","FRANKSTON","3199","-38.14549100","145.11921400","Metro South","Not allowed"
"Between 100 and 199","CAULFIELD","3162","-37.88960000","145.02114560","Metro South","Allowed"
"Between 200 and 499","PARKVILLE","3052","-37.79558461","144.95761459","Metro North","Not allowed"
"More than 499","BERWICK","3806","-38.03053475","145.34511560","Metro South","Allowed"
"More than 499","CLAYTON","3168","-37.91977465","145.13772950","Metro East","Allowed"
"Between 200 and 499","CLAYTON","3168","-37.92429894","145.11953950","Metro East","Allowed"
"Between 20 and 49","PARKVILLE","3052","-37.79605565","144.96139480","Metro North","Not allowed"
"Unspecified","FRANKSTON","3199","-38.17108821","145.15741385","Metro South","Not allowed"
"Unspecified","CAULFIELD","3162","-37.87988800","145.02351600","Metro South","Not allowed"
"Unspecified","CAULFIELD","3162","-37.87277501","145.02387740","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.92615100","145.11837900","Metro East","Not allowed"
"Unspecified","CLAYTON","3168","-37.92395700","145.12042600","Metro East","Not allowed"
"Unspecified","BERWICK","3806","-38.02987700","145.34747700","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.15924400","145.14079700","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.16698700","145.10878900","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.15780600","145.13082400","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14177654","145.12304120","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14744300","145.14503900","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14185909","145.12257150","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14768209","145.14534760","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.15879000","145.12375400","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14741130","145.14474960","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.92726100","145.11903300","Metro East","Not allowed"
"Unspecified","BERWICK","3806","-38.01491622","145.32340363","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14483900","145.13882400","Metro South","Not allowed"
"Unspecified","CAULFIELD","3162","-37.87608100","145.04291900","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14755129","145.14505420","Metro South","Not allowed"
"Unspecified","BERWICK","3806","-38.05588739","145.34710000","Metro South","Not allowed"
"Unspecified","BERWICK","3806","-38.03103600","145.34716600","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14096200","145.12637900","Metro South","Not allowed"
"Unspecified","BERWICK","3806","-38.06160650","145.33910260","Metro South","Not allowed"
"Unspecified","BERWICK","3806","-38.06041890","145.33946120","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14177654","145.12304120","Metro South","Not allowed"
"Unspecified","BERWICK","3806","-38.03016200","145.34466800","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.15478136","145.16595310","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.92627235","145.11922420","Metro East","Not allowed"
"Unspecified","CLAYTON","3168","-37.92050900","145.13957600","Metro East","Not allowed"
"Unspecified","FRANKSTON","3199","-38.12958311","145.15291680","Metro South","Not allowed"
"More than 499","CLAYTON","3168","-37.95630350","145.13247130","Metro South","Not allowed"
"Unspecified","CAULFIELD","3162","-37.88763300","145.02163800","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.15116700","145.12457300","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.93200070","145.10903320","Metro South","Allowed"
"More than 499","FRANKSTON","3199","-38.14486300","145.11998400","Metro South","Not allowed"
"More than 499","PARKVILLE","3052","-37.78549060","144.95337190","Metro North","Not allowed"
"Between 100 and 199","FRANKSTON","3199","-38.14194475","145.12188580","Metro South","Not allowed"
"Unspecified","BERWICK","3806","-38.03241100","145.34372800","Metro South","Not allowed"
"More than 499","FRANKSTON","3199","-38.15075701","145.14796370","Metro South","Allowed"
"Unspecified","CLAYTON","3168","-37.92537699","145.12261230","Metro East","Allowed"
"Unspecified","FRANKSTON","3199","-38.13314630","145.17562180","Metro South","Not allowed"
"Unspecified","BERWICK","3806","-38.03280700","145.36570500","Metro South","Not allowed"
